Query_number,doc_number
1090054,99999
1090054,1
1090054,10
1101259,482636
1101259,18386
1101259,322666
1089983,121486
1089983,260494
1089983,291617
1089966,301367
1089966,176318
1089966,456113
1089964,405315
1089964,26166
1089964,242958
1089940,59434
1089940,411856
1089940,89827
1089925,219191
1089925,24036
1089925,391126
1089896,384096
1089896,320216
1089896,120632
1101236,99999
1101236,1
1101236,10
1089868,321921
1089868,203689
1089868,388711
1089846,99999
1089846,1
1089846,10
1089832,408824
1089832,486706
1089832,179254
1089810,49410
1089810,484606
1089810,393717
1101228,361061
1101228,203259
1101228,412438
1089804,251315
1089804,389243
1089804,196480
1089787,403617
1089787,209334
1089787,158516
1089776,258408
1089776,219575
1089776,202904
1089763,249144
1089763,16912
1089763,229212
1089760,33780
1089760,391418
1089760,263251
1089719,455376
1089719,343456
1089719,340989
1089706,362535
1089706,486543
1089706,178774
1089693,334105
1089693,350630
1089693,92712
1089691,122779
1089691,407653
1089691,167199
1089688,353229
1089688,50346
1089688,281279
1089683,324519
1089683,251401
1089683,288259
1089674,243328
1089674,379246
1089674,10201
1101214,199777
1101214,176349
1101214,398606
1089645,20199
1089645,131755
1089645,252451
1101211,386829
1101211,201113
1101211,75953
1089619,498949
1089619,427058
1089619,243959
1089597,42028
1089597,306187
1089597,259343
1089576,137774
1089576,418314
1089576,356402
1089560,107061
1089560,285013
1089560,195786
1089541,376352
1089541,281220
1089541,19087
1089511,118899
1089511,456002
1089511,188607
1089501,442799
1089501,334462
1089501,166037
1089469,399006
1089469,215448
1089469,172689
1089443,99999
1089443,1
1089443,10
1089438,267865
1089438,141755
1089438,21321
1089434,311188
1089434,232802
1089434,239625
1089414,12216
1089414,258408
1089414,115381
1089408,352969
1089408,374700
1089408,452684
1089401,91354
1089401,41398
1089401,149883
1089355,258408
1089355,219575
1089355,202904
1089325,56928
1089325,442866
1089325,398276
1089312,148327
1089312,441638
1089312,257379
1089293,194920
1089293,79812
1089293,271179
1089286,254113
1089286,368645
1089286,77093
1089273,151696
1089273,291311
1089273,12456
1101173,427634
1101173,79075
1101173,94741
1101172,485838
1101172,381108
1101172,500961
1101171,371875
1101171,349664
1101171,485130
1089177,337373
1089177,77169
1089177,67747
1089167,99999
1089167,1
1089167,10
1089158,99999
1089158,1
1089158,10
1089156,195635
1089156,174141
1089156,346446
1089143,311889
1089143,303776
1089143,367012
1089121,40203
1089121,366234
1089121,192033
1089093,409818
1089093,127232
1089093,211547
1089085,77169
1089085,67747
1089085,198104
1089071,55835
1089071,123354
1089071,468797
1089051,258408
1089051,219575
1089051,202904
1089044,99999
1089044,1
1089044,10
1089043,92221
1089043,232179
1089043,354171
1089036,103203
1089036,382889
1089036,297800
1089027,233338
1089027,425557
1089027,354190
1089026,295407
1089026,573
1089026,368870
1089022,99999
1089022,1
1089022,10
1089021,258408
1089021,219575
1089021,202904
1089002,77169
1089002,320216
1089002,67747
1089001,99999
1089001,1
1089001,10
1088993,251367
1088993,234223
1088993,70435
1088987,419472
1088987,316925
1088987,413442
1088973,71947
1088973,342017
1088973,80384
1088960,262223
1088960,322064
1088960,235217
1088958,142801
1088958,409247
1088958,241141
1088947,83303
1088947,376323
1088947,77081
1088938,258408
1088938,219575
1088938,202904
1088928,56045
1088928,365012
1088928,75309
1088903,258408
1088903,219575
1088903,202904
1088889,99999
1088889,1
1088889,10
1088884,78295
1088884,214882
1088884,386128
1088869,366234
1088869,192033
1088869,309683
1088856,213247
1088856,53045
1088856,361382
1088845,406057
1088845,436018
1088845,233336
1088832,478733
1088832,491043
1088832,13382
1088800,366234
1088800,192033
1088800,309683
1101131,367628
1101131,1375
1101131,171342
1102300,79267
1102300,84788
1102300,69593
1088758,208505
1088758,300720
1088758,34824
1088734,110548
1088734,44393
1088734,106693
1088718,110548
1088718,44393
1088718,106693
1088693,258408
1088693,219575
1088693,202904
1101121,262223
1101121,322064
1101121,235217
1088685,110548
1088685,44393
1088685,106693
1088628,110548
1088628,44393
1088628,106693
1088606,99999
1088606,1
1088606,10
1088541,288893
1088541,171787
1088541,401809
1088539,203527
1088539,377717
1088539,202429
1088475,423683
1088475,278948
1088475,51361
1088453,402739
1088453,480023
1088453,68676
1101090,77169
1101090,67747
1101090,198104
1088437,110548
1088437,44393
1088437,106693
1101088,129907
1101088,272947
1101088,331818
1088379,465539
1088379,50767
1088379,168628
1088358,6302
1088358,147928
1088358,112770
1088349,44393
1088349,110548
1088349,106693
1088302,487375
1088302,37664
1088302,305927
1088164,110548
1088164,44393
1088164,106693
1088153,110548
1088153,44393
1088153,106693
1088138,110548
1088138,44393
1088138,106693
1088043,180249
1088043,133109
1088043,211407
1087999,366234
1087999,192033
1087999,309683
1087959,99999
1087959,1
1087959,10
1101048,305341
1101048,147309
1101048,253589
1087915,181760
1087915,428683
1087915,117424
1087911,463285
1087911,198337
1087911,353689
1087869,179254
1087869,265625
1087869,426249
1087858,42647
1087858,457614
1087858,481636
1087848,493638
1087848,386197
1087848,416276
1087803,134068
1087803,430769
1087803,61535
1087795,137863
1087795,484280
1087795,293958
1087774,204452
1087774,77564
1087774,8998
1087766,90989
1087766,203520
1087766,303889
1087736,377588
1087736,297862
1087736,196751
1087729,6905
1087729,192407
1087729,456510
1087727,320049
1087727,300856
1087727,180223
1087722,241966
1087722,382376
1087722,131121
1087687,467866
1087687,146083
1087687,360878
1087680,67025
1087680,66687
1087680,479186
1087675,247438
1087675,456407
1087675,117521
1087634,172106
1087634,393338
1087634,70488
1101018,25769
1101018,344230
1101018,105893
1087589,175672
1087589,185280
1087589,200101
1087581,99999
1087581,1
1087581,10
1087566,99999
1087566,1
1087566,10
1087556,44837
1087556,411007
1087556,63305
1087532,99999
1087532,1
1087532,10
1087514,26772
1087514,48848
1087514,330509
1087492,208859
1087492,348799
1087492,277805
1087487,161173
1087487,457807
1087487,342688
1087486,438988
1087486,166919
1087486,44536
1087484,99999
1087484,1
1087484,10
1087425,79146
1087425,251940
1087425,467247
1087375,486171
1087375,367514
1087375,484397
1087361,442204
1087361,483862
1087361,85068
1087351,65436
1087351,30705
1087351,488569
1087327,466487
1087327,446479
1087327,257467
1087317,107009
1087317,389463
1087317,117115
1087309,279920
1087309,418197
1087309,8918
1087238,262315
1087238,159685
1087238,395297
1087226,389653
1087226,111785
1087226,402567
1087215,296313
1087215,40612
1087215,199765
1100986,83303
1100986,376323
1100986,268494
1087204,271796
1087204,138657
1087204,199747
1087185,349375
1087185,233024
1087185,166736
1087173,428775
1087173,228018
1087173,35316
1087171,80706
1087171,408671
1087171,380608
1100980,162220
1100980,1996
1100980,74117
1087129,364961
1087129,248532
1087129,456052
1087122,485470
1087122,487475
1087122,372532
1087114,127629
1087114,209507
1087114,376574
1087105,39786
1087105,136454
1087105,470844
1087077,201817
1087077,130952
1087077,488800
1087076,477183
1087076,228921
1087076,323140
1087074,18592
1087074,401927
1087074,168440
1087066,143169
1087066,162052
1087066,431189
1087061,184632
1087061,38831
1087061,4456
1087047,372208
1087047,264144
1087047,28715
1087046,74117
1087046,1996
1087046,392781
1087042,60011
1087042,256564
1087042,261054
1087018,413622
1087018,39828
1087018,400736
1087014,43367
1087014,98808
1087014,163226
1087001,392069
1087001,418092
1087001,256541
1086974,56248
1086974,255946
1086974,463268
1086933,474235
1086933,87187
1086933,10618
1086928,189179
1086928,38374
1086928,137580
1086927,99999
1086927,1
1086927,10
1086917,272656
1086917,64282
1086917,382624
1086915,457058
1086915,110623
1086915,194518
1086893,34153
1086893,129016
1086893,92861
1086886,267617
1086886,396282
1086886,290912
1086883,20563
1086883,280218
1086883,74924
1086874,99999
1086874,1
1086874,10
1086860,360076
1086860,325009
1086860,486667
1086855,228819
1086855,187477
1086855,303963
1086836,397190
1086836,70717
1086836,115399
1086834,465191
1086834,128519
1086834,262790
1086765,275269
1086765,150289
1086765,298851
1086760,336605
1086760,344837
1086760,498297
1086715,43689
1086715,347430
1086715,178905
1086713,193854
1086713,495687
1086713,355633
1100937,489732
1100937,476077
1100937,354055
1086708,46923
1086708,194696
1086708,76041
1086701,139936
1086701,165731
1086701,289503
1086681,401595
1086681,162242
1086681,169498
1086679,401595
1086679,162242
1086679,169498
1100933,74924
1100933,384712
1100933,20563
1086628,217291
1086628,499879
1086628,387050
1100930,77169
1100930,67747
1100930,198104
1086595,55835
1086595,123354
1086595,468797
1086581,125490
1086581,325822
1086581,428073
1086565,289126
1086565,422924
1086565,413443
1086555,347188
1086555,122226
1086555,392336
1086532,449955
1086532,354926
1086532,426401
1086477,338148
1086477,438889
1086477,115119
1100919,496539
1100919,67317
1100919,382129
1086468,485838
1086468,381108
1086468,500961
1086439,21738
1086439,217710
1086439,132134
1086430,419450
1086430,450729
1086430,123082
1086424,181169
1086424,339098
1086424,334722
1086391,474898
1086391,188396
1086391,264489
1086385,256923
1086385,223484
1086385,357930
1086384,133557
1086384,482353
1086384,78953
1086326,491866
1086326,154043
1086326,126690
1086309,40639
1086309,333150
1086309,442297
1086288,352181
1086288,448764
1086288,379873
1086281,234785
1086281,207154
1086281,360500
1086271,325637
1086271,409214
1086271,90208
1086266,180389
1086266,168882
1086266,322512
1086248,241208
1086248,499189
1086248,400681
1086241,79866
1086241,238300
1086241,440979
1086224,285343
1086224,375328
1086224,269812
1086200,154283
1086200,87435
1086200,77177
1086174,134068
1086174,68850
1086174,427706
1086120,405346
1086120,468885
1086120,314302
1086075,320603
1086075,463398
1086075,256809
1086046,24363
1086046,223595
1086046,339970
1086022,120632
1086022,129377
1086022,319757
1086014,374230
1086014,258466
1086014,133249
1085980,22529
1085980,333778
1085980,26473
1085967,283462
1085967,185935
1085967,369732
1100875,469062
1100875,433312
1100875,345227
1085943,381108
1085943,485838
1085943,500961
1085918,195635
1085918,174141
1085918,346446
1085889,351826
1085889,393537
1085889,358763
1085845,137798
1085845,327721
1085845,91050
1085842,238476
1085842,50233
1085842,473353
1085812,258408
1085812,219575
1085812,202904
1085804,99999
1085804,1
1085804,10
1085796,65436
1085796,30705
1085796,488569
1085780,99999
1085780,1
1085780,10
1085779,198104
1085779,77169
1085779,67747
1085764,191163
1085764,289356
1085764,49410
1085762,454940
1085762,205318
1085762,371527
1085760,51495
1085760,194725
1085760,216232
1085733,353032
1085733,41655
1085733,9187
1085697,402798
1085697,45940
1085697,187549
1085674,480801
1085674,492203
1085674,346876
1100852,99999
1100852,1
1100852,10
1085658,235628
1085658,258627
1085658,60576
1085630,99999
1085630,1
1085630,10
1085613,480801
1085613,492203
1085613,346876
1085586,99999
1085586,1
1085586,10
1085584,22558
1085584,399492
1085584,271704
1085572,99999
1085572,1
1085572,10
1085550,99999
1085550,1
1085550,10
1085533,458614
1085533,353536
1085533,289445
1085532,365355
1085532,241089
1085532,331165
1085521,99999
1085521,1
1085521,10
1085517,49820
1085517,387165
1085517,449940
1100839,290552
1100839,466604
1100839,15346
1085510,423992
1085510,391395
1085510,332324
1085457,442876
1085457,372227
1085457,130355
1085456,273516
1085456,475994
1085456,180147
1085454,99999
1085454,1
1085454,10
1085441,99999
1085441,1
1085441,10
1085422,80384
1085422,342017
1085422,417991
1085421,99999
1085421,1
1085421,10
1085393,99999
1085393,1
1085393,10
1085356,99999
1085356,1
1085356,10
1085348,403792
1085348,303504
1085348,108870
1085341,99999
1085341,1
1085341,10
1085339,99999
1085339,1
1085339,10
1085327,37664
1085327,305927
1085327,44334
1085319,99999
1085319,1
1085319,10
1085288,473852
1085288,138643
1085288,384975
1085279,99999
1085279,1
1085279,10
1085245,534
1085245,29443
1085245,120158
1085229,99999
1085229,1
1085229,10
1100816,187612
1100816,391523
1100816,363823
1085197,362059
1085197,11810
1085197,147144
1085141,91770
1085141,335982
1085141,223552
1085048,404941
1085048,52769
1085048,36674
1085035,247456
1085035,196706
1085035,410158
1085013,469693
1085013,86767
1085013,135866
1085008,13512
1085008,175433
1085008,272806
1084986,117907
1084986,32295
1084986,1015
1084982,103683
1084982,208582
1084982,289386
1084971,354492
1084971,302803
1084971,424887
1084910,439568
1084910,368792
1084910,196530
1084906,411298
1084906,189510
1084906,250483
1084898,347188
1084898,392336
1084898,122226
1084889,243301
1084889,249695
1084889,140277
1084887,258408
1084887,219575
1084887,202904
1100783,258408
1100783,219575
1100783,202904
1084848,223359
1084848,47909
1084848,220619
1084838,240116
1084838,400934
1084838,162157
1084814,13577
1084814,255848
1084814,158988
1084769,47980
1084769,475899
1084769,103967
1084755,418459
1084755,356254
1084755,10334
1084722,265738
1084722,445714
1084722,50533
1084713,351815
1084713,72394
1084713,214319
1084712,214319
1084712,362109
1084712,410151
1084686,326265
1084686,229906
1084686,15662
1084603,267407
1084603,173378
1084603,139422
1084582,474235
1084582,87187
1084582,10618
1084518,299241
1084518,18715
1084518,76350
1084516,224600
1084516,223359
1084516,220619
1084512,348282
1084512,383137
1084512,3018
1084478,279750
1084478,86542
1084478,355836
1084475,307627
1084475,410249
1084475,246875
1084469,86272
1084469,500321
1084469,161476
1084408,432748
1084408,140314
1084408,456413
1084403,318838
1084403,367794
1084403,465265
1084389,375013
1084389,262353
1084389,283035
1084383,222454
1084383,141423
1084383,435005
1084354,106352
1084354,438723
1084354,318179
1084336,258408
1084336,219575
1084336,202904
1084330,291866
1084330,355144
1084330,53
1084326,301748
1084326,358489
1084326,298538
1084324,258408
1084324,219575
1084324,202904
1084308,99999
1084308,1
1084308,10
1084301,258408
1084301,219575
1084301,202904
1100732,335007
1100732,324520
1100732,24942
1084276,158437
1084276,50674
1084276,204877
1084273,83785
1084273,468704
1084273,103473
1084233,39758
1084233,167842
1084233,376464
1084230,258408
1084230,219575
1084230,202904
1084197,67029
1084197,364942
1084197,16000
1100724,357712
1100724,34505
1100724,87213
1084192,99999
1084192,1
1084192,10
1084086,399052
1084086,397017
1084086,97695
1084076,249696
1084076,5477
1084076,448947
1084075,418425
1084075,169011
1084075,199979
1084038,308078
1084038,120734
1084038,4609
1083997,252009
1083997,318853
1083997,164389
1083948,258408
1083948,219575
1083948,202904
1083945,91756
1083945,380783
1083945,363109
1083933,258408
1083933,219575
1083933,202904
1083926,372494
1083926,465292
1083926,312824
1083909,290385
1083909,134640
1083909,474911
1083832,236711
1083832,440908
1083832,162504
1083831,99999
1083831,1
1083831,10
1083822,234643
1083822,356529
1083822,142487
1083800,139371
1083800,375172
1083800,479948
1083797,59249
1083797,53342
1083797,75286
1100687,9040
1100687,415551
1100687,364980
1083783,258408
1083783,219575
1083783,202904
1083727,258408
1083727,219575
1083727,202904
1083721,484766
1083721,92595
1083721,170293
1083704,496922
1083704,376271
1083704,35405
1083690,258408
1083690,219575
1083690,202904
1083686,234420
1083686,341595
1083686,462909
1083641,100758
1083641,4147
1083641,452788
1083627,271170
1083627,400426
1083627,122320
1083597,258408
1083597,219575
1083597,202904
1083584,218326
1083584,437835
1083584,294413
1083535,217680
1083535,481199
1083535,57094
1083517,329066
1083517,100773
1083517,458415
1083502,161026
1083502,140353
1083502,313864
1083500,388653
1083500,309411
1083500,14023
1083499,268511
1083499,392257
1083499,187229
1083472,481838
1083472,392364
1083472,405077
1083443,171744
1083443,151536
1083443,266748
1083430,120391
1083430,164679
1083430,32313
1083428,99999
1083428,1
1083428,10
1083410,398619
1083410,476909
1083410,100141
1083362,201718
1083362,24146
1083362,327550
1083345,258408
1083345,219575
1083345,202904
1083341,258408
1083341,219575
1083341,202904
1083340,449629
1083340,91420
1083340,23689
1083332,92577
1083332,378584
1083332,452126
1083307,120391
1083307,164679
1083307,32313
1083293,99999
1083293,1
1083293,10
1100639,15455
1100639,164914
1100639,180279
1083285,258408
1083285,219575
1083285,202904
1083278,312250
1083278,477501
1083278,494665
1083268,458797
1083268,49199
1083268,180571
1083267,49199
1083267,458797
1083267,439532
1100634,99999
1100634,1
1100634,10
1083161,120391
1083161,164679
1083161,32313
1083158,120391
1083158,164679
1083158,32313
1083152,322750
1083152,424347
1083152,216808
1083127,258408
1083127,219575
1083127,202904
1083125,179509
1083125,491278
1083125,176368
1083108,265172
1083108,448684
1083108,60563
1083095,456813
1083095,489412
1083095,92888
1083092,45226
1083092,481425
1083092,348156
1083085,258408
1083085,219575
1083085,202904
1083017,34256
1083017,418735
1083017,312314
1083010,498074
1083010,304977
1083010,365136
1083000,254576
1083000,383650
1083000,488644
1082948,258408
1082948,219575
1082948,202904
1082947,325534
1082947,54983
1082947,130394
1082924,99999
1082924,1
1082924,10
1082893,120391
1082893,164679
1082893,32313
1082870,248232
1082870,464330
1082870,268455
1082840,401012
1082840,151685
1082840,179613
1082835,433332
1082835,501302
1082835,454348
1082807,501648
1082807,139502
1082807,384402
1082792,44539
1082792,138237
1082792,396221
1082779,120391
1082779,164679
1082779,32313
1082759,359995
1082759,492743
1082759,400778
1082751,479968
1082751,37687
1082751,152593
1082750,274374
1082750,157186
1082750,413951
1082730,97732
1082730,207941
1082730,457692
1082668,4063
1082668,435672
1082668,125849
1082653,57248
1082653,467771
1082653,344508
1082622,351164
1082622,375227
1082622,36638
1082607,316418
1082607,217010
1082607,412345
1100581,120632
1100581,319757
1100581,488421
1082536,496539
1082536,67317
1082536,382129
1082531,292502
1082531,180405
1082531,313026
1082502,120391
1082502,164679
1082502,32313
1082455,258408
1082455,219575
1082455,202904
1082445,13885
1082445,420425
1082445,97670
1082427,228040
1082427,390516
1082427,385789
1082384,297264
1082384,491618
1082384,235517
1082377,130011
1082377,405523
1082377,330512
1082351,144057
1082351,376033
1082351,248440
1082341,342521
1082341,438973
1082341,376369
1082339,464554
1082339,136124
1082339,120579
1082332,233162
1082332,20397
1082332,485830
1082281,366814
1082281,155471
1082281,223156
1082265,249220
1082265,90813
1082265,191401
1082263,132029
1082263,332196
1082263,216213
1082242,80275
1082242,394366
1082242,119803
1082117,109029
1082117,380731
1082117,118940
1100544,420191
1100544,287192
1100544,223665
1081946,415715
1081946,145355
1081946,82775
1100541,112588
1100541,357712
1100541,34505
1081730,5366
1081730,375986
1081730,49379
1081609,208442
1081609,100242
1081609,193247
1081595,427552
1081595,492732
1081595,13561
1081338,357474
1081338,76274
1081338,206105
1100537,373534
1100537,68448
1100537,464056
1081091,176621
1081091,379874
1081091,60011
1081086,360351
1081086,128402
1081086,307940
1080970,60011
1080970,256564
1080970,261054
1080950,388007
1080950,142842
1080950,211354
1100533,366036
1100533,389087
1100533,77973
1080555,91506
1080555,3045
1080555,256638
1080406,474630
1080406,452625
1080406,317881
1080253,59249
1080253,53144
1080253,75286
1080031,99999
1080031,1
1080031,10
1080010,316865
1080010,253649
1080010,21727
1102240,297022
1102240,312236
1102240,112360
1079535,414910
1079535,64957
1079535,480138
1079340,366966
1079340,232409
1079340,176134
1079086,165608
1079086,422812
1079086,240370
1079050,134894
1079050,346257
1079050,192182
1078906,65120
1078906,476867
1078906,126949
1078765,52121
1078765,373931
1078765,171185
1077844,52794
1077844,120069
1077844,60530
1077019,129838
1077019,457108
1077019,23713
1077006,291362
1077006,322624
1077006,199591
1077002,99999
1077002,1
1077002,10
1100499,443124
1100499,276623
1100499,247785
1076269,181936
1076269,473151
1076269,479567
1075980,205303
1075980,437678
1075980,198312
1100492,60011
1100492,256564
1100492,261054
1075919,49418
1075919,463260
1075919,258914
1075741,99999
1075741,1
1075741,10
1075656,136998
1075656,325484
1075656,226705
1100488,453904
1100488,141839
1100488,254286
1075608,351078
1075608,104983
1075608,429826
1075591,408824
1075591,486706
1075591,106028
1075348,389197
1075348,342285
1075348,189187
1075313,99999
1075313,1
1075313,10
1075262,233180
1075262,345999
1075262,126167
1074997,379949
1074997,144415
1074997,245282
1074995,99999
1074995,1
1074995,10
1074989,169938
1074989,152338
1074989,216450
1074949,573
1074949,418508
1074949,103231
1074883,385668
1074883,492430
1074883,431534
1074807,400731
1074807,337892
1074807,378468
1074804,59318
1074804,404292
1074804,151745
1074001,99999
1074001,1
1074001,10
1073640,411314
1073640,303283
1073640,359251
1073569,99999
1073569,1
1073569,10
1073365,43491
1073365,49841
1073365,46083
1073358,77850
1073358,421047
1073358,165746
1072874,120212
1072874,430383
1072874,151684
1072750,99999
1072750,1
1072750,10
1072603,464313
1072603,378678
1072603,60216
1072513,99999
1072513,1
1072513,10
1100458,357712
1100458,34505
1100458,87213
1072500,458656
1072500,107918
1072500,480784
1100457,151267
1100457,176857
1100457,257925
1100455,329557
1100455,60011
1100455,256564
1072188,356063
1072188,335036
1072188,5395
1100454,11563
1100454,60011
1100454,468421
1071992,256267
1071992,373046
1071992,8265
1071598,379664
1071598,452622
1071598,315603
1071545,196762
1071545,405647
1071545,356146
1071534,499669
1071534,86010
1071534,164549
1071389,417663
1071389,96593
1071389,489878
1071198,325123
1071198,150058
1071198,236694
1070546,195643
1070546,114363
1070546,55379
1070452,99999
1070452,1
1070452,10
1070324,256209
1070324,488050
1070324,34675
1070131,99999
1070131,1
1070131,10
1100438,171558
1100438,408074
1100438,84710
1069981,99999
1069981,1
1069981,10
1069717,99999
1069717,1
1069717,10
1069521,259968
1069521,265229
1069521,131397
1069405,399519
1069405,95225
1069405,339741
1069344,213374
1069344,17721
1069344,47335
1069222,356766
1069222,380072
1069222,443393
1069128,99999
1069128,1
1069128,10
1068952,99999
1068952,1
1068952,10
1068715,32348
1068715,64107
1068715,76051
1068584,62058
1068584,92916
1068584,479244
1068290,99999
1068290,1
1068290,10
1068276,257857
1068276,237286
1068276,160720
1067826,284191
1067826,474136
1067826,320920
1067772,151174
1067772,196032
1067772,199022
1067764,35316
1067764,112979
1067764,428775
1067724,377575
1067724,216232
1067724,387766
1067659,331462
1067659,296936
1067659,283736
1100415,99999
1100415,1
1100415,10
1067640,374556
1067640,200524
1067640,181960
1067587,99999
1067587,1
1067587,10
1067284,406747
1067284,196272
1067284,321996
1067276,333209
1067276,350494
1067276,249474
1066971,215914
1066971,490476
1066971,67196
1066966,483984
1066966,450909
1066966,130793
1066958,222631
1066958,279761
1066958,59102
1066916,109355
1066916,170506
1066916,221650
1066709,49011
1066709,349095
1066709,35316
1100403,77169
1100403,67747
1100403,198104
1066161,216306
1066161,158283
1066161,282679
1065971,27414
1065971,456007
1065971,250766
1065712,280263
1065712,365531
1065712,49172
1065650,99999
1065650,1
1065650,10
1065558,29959
1065558,7911
1065558,438307
1065551,147504
1065551,491366
1065551,452458
1065494,199285
1065494,383680
1065494,282443
1065160,20740
1065160,409239
1065160,115207
1064961,99999
1064961,1
1064961,10
1064808,99999
1064808,1
1064808,10
1064687,474235
1064687,87187
1064687,10618
1064206,50233
1064206,238476
1064206,473353
1064195,477424
1064195,114544
1064195,181553
1063974,237287
1063974,248600
1063974,256171
1063892,276076
1063892,66886
1063892,304266
1063777,353032
1063777,41655
1063777,243141
1063758,179724
1063758,389652
1063758,402433
1063702,4903
1063702,224472
1063702,423372
1063644,74548
1063644,1507
1063644,79509
1063607,345557
1063607,110762
1063607,34114
1063478,99999
1063478,1
1063478,10
1063349,99999
1063349,1
1063349,10
1100370,99999
1100370,1
1100370,10
1062961,468358
1062961,136712
1062961,347784
1062928,99999
1062928,1
1062928,10
1062784,360695
1062784,65933
1062784,427033
1062744,67025
1062744,66687
1062744,479186
1062687,141607
1062687,186702
1062687,476181
1062589,99999
1062589,1
1062589,10
1062511,420153
1062511,265178
1062511,458687
1062350,357712
1062350,34505
1062350,87213
1062332,279720
1062332,117720
1062332,279521
1062223,99999
1062223,1
1062223,10
1061762,99999
1061762,1
1061762,10
1061472,474235
1061472,87187
1061472,10618
1061324,430574
1061324,351942
1061324,195624
1061237,245686
1061237,187772
1061237,195970
1061210,420153
1061210,265178
1061210,458687
1061167,484872
1061167,136217
1061167,219712
1060881,247615
1060881,87795
1060881,45493
1060868,117845
1060868,219181
1060868,484804
1060795,231898
1060795,462997
1060795,186810
1060623,395069
1060623,496293
1060623,26951
1060566,469643
1060566,474029
1060566,18970
1060496,159406
1060496,328443
1060496,171929
1060462,300922
1060462,230520
1060462,221320
1060391,262223
1060391,322064
1060391,235217
1060040,99999
1060040,1
1060040,10
1060039,482674
1060039,456940
1060039,277291
1059698,8561
1059698,171764
1059698,470673
1059601,171471
1059601,411250
1059601,344927
1059421,52121
1059421,373931
1059421,171185
1059420,371127
1059420,242319
1059420,314838
1059287,99999
1059287,1
1059287,10
1059077,66657
1059077,85897
1059077,296858
1059045,428308
1059045,113788
1059045,197911
1100319,83303
1100319,376323
1100319,268494
1058952,99999
1058952,1
1058952,10
1058885,363279
1058885,229922
1058885,468187
1058604,135074
1058604,493798
1058604,134058
1100308,99999
1100308,1
1100308,10
1058601,272857
1058601,119631
1058601,378342
1058515,99999
1058515,1
1058515,10
1058470,99999
1058470,1
1058470,10
1058442,485143
1058442,446346
1058442,56960
1058325,113799
1058325,417079
1058325,64660
1058271,249152
1058271,386565
1058271,378989
1058182,168688
1058182,44546
1058182,222763
1058141,99999
1058141,1
1058141,10
1100299,466487
1100299,446479
1100299,257467
1058036,176173
1058036,456876
1058036,492351
1057996,321247
1057996,50646
1057996,144387
1057937,490821
1057937,381348
1057937,239788
1057708,442445
1057708,239601
1057708,145121
1057656,258408
1057656,219575
1057656,202904
1057539,399235
1057539,395555
1057539,470844
1057334,394127
1057334,321263
1057334,228000
1057139,99999
1057139,1
1057139,10
1057112,416187
1057112,482168
1057112,151296
1057015,294227
1057015,395190
1057015,378834
1056758,267617
1056758,396282
1056758,290912
1056742,396051
1056742,472920
1056742,489272
1056726,99999
1056726,1
1056726,10
1056644,132918
1056644,161288
1056644,156250
1056580,405175
1056580,369740
1056580,165636
1056437,229831
1056437,381950
1056437,301303
1056211,99999
1056211,1
1056211,10
1056163,483155
1056163,494929
1056163,124982
1056159,438872
1056159,56508
1056159,104673
1056060,99999
1056060,1
